--froce,--force
abadoned,abandoned
ablums,albums
accomidate,accommodate
accomidates,accommodates
accoutning,accounting
accuratly,accurately
accureate,accurate
actucally,actually
addign,adding
adn,and
aggresive,aggressive
agin,again
agreesive,aggressive
ahve,have
almaost,almost
alos,also
alrady,already
alwasy,always
amzaing,amazing
anf,and
anythign,anything
apoligize,apologize
applicaiton,application
applicaitons,applications
applicatoin,application
applicatoins,applications
arealdy,already
aroudn,around
aslo,also
asnwer,answer
assuem,assume
assuption,assumption
attrbute,attribute
avaialble,available
availablility,availability
avalibale,avaliable
bahavior,behavior
becomming,becoming
becuase,because
begining,beginning
betwwen,between
brance,branch
caclulating,calculating
cacncel,cancel
cacnel,cancel
cahnge,change
cahnged,changed
cahnges,changes
caht,chat
caluclate,calculate
cehck,check
cehckout,checkout
cehcks,checks
chage,change
chages,changes
chagne,change
chagnes,changes
challege,challenge
charater,character
charaters,characters
charcter,character
charcters,characters
chari,chair
charis,chairs
checkkout,checkout
checout,checkout
chekout,checkout
chmode,chmod
chnage,change
chnages,changes
cloen,clone
collaboratoin,collaboration
colums,columns
comit,commit
commetn,comment
commetns,comments
commitee,committee
commt,commit
completly,completely
complext,complex
concensus,consensus
congradulate,congratulate
consitent,consistent
consoel,console
convension,convention
convensions,conventions
correctoin,correction
correctoins,corrections
coudl,could
culteral,cultural
cultueral,culteral
dahboard,dashboard
dahboards,dashboards
dasboard,dashboard
dasboards,dashboards
dashbaord,dashboard
dashbaords,dashboards
deatail,detail
deatails,details
defautl,default
defautls,defaults
defence,defense
defences,defenses
definitly,definitely
defualt,default
descion,decision
descions,decisions
desgin,design
desgins,designs
desigining,designing
desribed,described
dicide,decide
dicsuss,discuss
dicuss,discuss
differetn,different
differnet,different
differnt,different
dispirsed,dispersed
distinugish,distinguish
disucssion,discussion
disucssions,discussions
disucussed,discussed
dobule,double
docekr,docker
doens't,doesn't
dooing,dooing
doubel,double
effciency,efficiency
effectivly,effectively
ellegant,elegant
enitre,entire
envrionment,environment
evalution,evaluation
evalutions,evaluations
everthing,everything
everythign,everything
exipration,expiration
exisitng,exiting
exmaple,example
exmaples,examples
expecation,expectation
expectatoin,expectation
explaination,explanation
explict,explicit
fakse,fake
fallign,falling
fiel,file
fiels,files
firday,friday
fodler,folder
freqently,frequently
frotn,front
gam,game
generatin,generating
goin,going
haev,have
heirarchies,hierarchies
hellow,hello
hierachy,hierarchy
hte,the
htem,them
idential,identical
ign,ing
implecations,implications
importent,important
incedent,incident
incedents,incidents
inconvience,inconvenience
increament,increment
inidividual,individual
internvals,intervals
intsall,install
intuative,intuitive
iternship,internship
karam,karma
langauge,language
lcoal,local
liek,like
logisitcal,logistical
lookign,looking
lvoe,love
maanagement,management
mabye,maybe
maintainance,maintenance
maintanance,maintenance
makign,making
malcious,malicious
managar,manager
mathamatical,mathematical
measureable,measurable
meeitng,meeting
meetign,meeting
meetigns,meetings
memebr,member
memebrs,members
methodoligy,methodology
miliseconds,milliseconds
minimun,minimum
mitgate,mitigate
mkir,mkdir
motiveated,motivated
movign,moving
obvisouly,obviously
offical,official
ommitted,omitted
ommitting,omitting
optoins,options
orgin,originso
otehr,other
otehrwise,otherwise
otpions,options
otpoins,options
overwelmed,overwhelmed
ownenership,ownership
packge,package
palce,place
palces,places
pelase,please
performa,performs
perminant,permanent
perminantly,permanently
pleae,please
pleaes,please
poeple,people
prematurly,prematurely
prioirty,priority
pritnln,println
proccessor,processor
proejct,project
protocal,protocol
prusue,pursue
prusues,pursues
pubilc,public
puesdo,pseudo
purpus,purpose
pythong,python
quesiton,question
quesitons,questions
questoin,question
questoins,questions
quieries,queries
reccomend,recommend
reccomendation,recommendation
reccomended,recommend
reccommend,recommend
recrutiing,recruiting
recrutiting,recruiting
recuriting,recruiting
recusion,recursion
regarless,regardless
releatd,related
removs,removes
remvoe,remove
replyign,replying
reponse,response
requriement,requirement
requriements,requirements
resovle,resolve
reuqirement,requirement
reuqirements,requirements
roels,roles
roght,right
saem,same
saerching,searching
satisfactoin,satisfaction
savigns,savings
searhc,search
seciton,section
seperate,separate
seraching,searching
serivce,service
servcie,service
servcies,services
settubg,setting
shoudl,should
shuold,should
sicne,since
similiar,similar
skiped,skipped
slience,silence
snapshop,snapshot
soem,some
soemthing,something
somethign,something
specfic,specific
sponser,sponsor
spritn,sprint
spritns,sprints
staatus,status
startes,starts
statu,status
statuys,status
stauts,status
strech,stretch
stroner,stronger
stuat,status
succient,succinct
succint,succinct
succintly,succinctly
sugguestion,suggestion
sugguestions,suggestions
sumbitted,submitted
suporting,supporting
suprise,surprise
surevy,survey
survye,survey
swtich,switch
symptons,symptoms
taht,that
techincal,technical
technoligies,technologies
teh,the
tehere,there
tehre,there
termonology,terminology
thay,they
theorectically,theoretically
thouhgt,thought
thouhgts,thoughts
tomorow,tomorrow
tpye,type
trainign,training
trainigns,trainings
trak,track
transactoin,transaction
transactoins,transactions
trasparent,transparent
ualtrics,qualtrics
udpate,update
uinque,unique
unblcok,unblock
unit8,uint8
variabel,variable
variabels,variables
varieity,variety
visibiltiy,visibility
waht,what
wahts,whats
waitign,waiting
wansts,wants
wnt,want
workign,working
woudl,would
yestarday,yesterday
